gene,arm,median_loss,median_neutral,condition,norm_exp
MAPK14,6p,-0.2515237867062947,-0.0955884363089682,non_sig,-0.15593535039732653
NLK,17q,-1.11471788065335,-0.056395303126913945,non_sig,-1.058322577526436
MAPK9,5q,-0.307294910459109,-0.00015002361932345016,non_sig,-0.3071448868397856
RNF111,15q,0.0909328799755098,0.0617335345961117,non_sig,0.029199345379398105
ST8SIA3,18q,-0.4359037535434745,-0.3299421708758875,non_sig,-0.10596158266758698
ST8SIA4,5q,-0.329271687959461,-0.3703781325762885,non_sig,0.0411064446168275
ST8SIA5,18q,-0.0255630750140919,-0.4559286036257475,non_sig,0.4303655286116556
MYZAP,15q,0.5378421032976031,-0.0466466024256367,non_sig,0.5844887057232397
SLITRK6,13q,-0.536360227068318,-0.380480924640206,non_sig,-0.155879302428112
SLITRK5,13q,0.06072412816734,-0.49347683920813246,non_sig,0.5542009673754724
ZMYM5,13q,-0.11803706345068,-0.0259829355021882,non_sig,-0.0920541279484918
ZMYM2,13q,-0.161327712032684,0.0021396244157825,non_sig,-0.1634673364484665
SMAD2,18q,-0.259384076143353,0.1762879372669625,non_sig,-0.43567201341031553
SMAD3,15q,-0.1082526430500515,0.0623289835936586,non_sig,-0.1705816266437101
SMAD4,18q,-0.26146097129756696,0.299741061378405,non_sig,-0.5612020326759719
SMAD9,13q,-0.0751117489742992,-0.07262920894746636,non_sig,-0.002482540026832847
SMAD5,5q,-0.2955398990328895,-0.0128564989746395,non_sig,-0.28268340005825005
SMAD1,4q,-0.16055664276474,-0.0151883938451756,non_sig,-0.1453682489195644
SOX10,22q,-0.689593043985204,-0.5781119130123655,non_sig,-0.11148113097283852
SOX8,16p,-0.993848048723142,-0.19550433566501,non_sig,-0.798343713058132
MYO3B,2q,-0.245099921114083,-0.0022288434822606,non_sig,-0.2428710776318224
MYO1C,17p,-0.1420358310458515,0.1063249846538465,non_sig,-0.24836081569969798
MYO1E,15q,-0.197759226257257,-0.0499979153617654,non_sig,-0.1477613108954916
IRS2,13q,-0.11572894728855,-0.0496102481177997,non_sig,-0.0661186991707503
