gene,arm,median_loss,median_neutral,condition,norm_exp
RRP1B,21q,4.6449615097928305,4.794893894693649,non_sig,-0.1499323849008185
RRP1,21q,4.961318469917816,4.869818948024314,non_sig,0.09149952189350241
MTCL1,18p,1.9257876046183178,1.9171317754638313,non_sig,0.008655829154486483
TMTC3,12q,3.2124483722985877,3.2057894986693527,non_sig,0.006658873629235007
DHX30,3p,4.028527429817518,4.412181344810589,non_sig,-0.38365391499307133
DHX40,17q,2.282883473801648,2.422364858189745,non_sig,-0.13948138438809687
DHX37,12q,2.5828877286227967,2.5346193468201346,non_sig,0.04826838180266213
DHX33,17p,2.802673150698416,2.8879493795147892,non_sig,-0.08527622881637331
DHX57,2p,1.9743498468936473,2.1243996759736508,non_sig,-0.15004982908000342
DHX8,17q,2.3482834195825077,2.4427872658460346,non_sig,-0.09450384626352681
DHX34,19q,0.6981803424462844,0.8464162169575205,non_sig,-0.1482358745112361
DHX9,1q,7.847240584187022,7.84920718871552,non_sig,-0.0019666045284987277
DHX15,4p,5.513820888156296,5.573724598944136,non_sig,-0.0599037107878404
DHX29,5q,1.9847822407099152,2.092813117857684,non_sig,-0.10803087714776893
DHX16,6p,3.3566309237854544,3.5558225198609814,non_sig,-0.19919159607552706
DHX36,3q,2.192100427587704,2.3212777830590308,non_sig,-0.12917735547132692
TOX3,16q,1.387981801482396,1.4536113836082425,non_sig,-0.06562958212584658
TOX,8q,2.328216610353482,2.8302375714454957,non_sig,-0.5020209610920139
TOX4,14q,3.5449141826570916,3.5746956502208924,non_sig,-0.029781467563800845
EYA1,8q,0.7728591269213363,1.060145298890936,non_sig,-0.2872861719695996
EYA3,1p,1.866737964062557,1.8248245222058936,non_sig,0.04191344185666335
CLK2,1q,0.9410571126624538,0.6022556883027054,non_sig,0.33880142435974847
CLK3,15q,1.0878434835289497,1.2932350381543825,non_sig,-0.2053915546254328
NAA16,13q,1.8775531990269452,2.056602327323234,non_sig,-0.17904912829628894
NAA15,4q,4.074378217695264,4.57039357379381,non_sig,-0.4960153560985461
NCOA2,8q,0.780070942612274,0.9648580104279638,non_sig,-0.18478706781568977
NCOA1,2p,2.6122138126342294,2.6531649988222346,non_sig,-0.040951186188005195
GPR35,2q,4.6866895573613245,4.903847326838111,non_sig,-0.21715776947678656
PREX1,20q,3.864819144759003,3.7236066395318312,non_sig,0.14121250522717155
